currency,code,mid,date
bat (Tajlandia),THB,0.1145,2025-05-30
dolar amerykański,USD,3.7537,2025-05-30
dolar australijski,AUD,2.4079,2025-05-30
dolar Hongkongu,HKD,0.4786,2025-05-30
dolar kanadyjski,CAD,2.7167,2025-05-30
dolar nowozelandzki,NZD,2.2338,2025-05-30
dolar singapurski,SGD,2.9073,2025-05-30
euro,EUR,4.2507,2025-05-30
forint (Węgry),HUF,0.01052,2025-05-30
frank szwajcarski,CHF,4.5555,2025-05-30
funt szterling,GBP,5.0552,2025-05-30
hrywna (Ukraina),UAH,0.0904,2025-05-30
jen (Japonia),JPY,0.026056,2025-05-30
korona czeska,CZK,0.1704,2025-05-30
korona duńska,DKK,0.5699,2025-05-30
korona islandzka,ISK,0.029478,2025-05-30
korona norweska,NOK,0.3685,2025-05-30
korona szwedzka,SEK,0.3907,2025-05-30
lej rumuński,RON,0.8391,2025-05-30
lew (Bułgaria),BGN,2.1733,2025-05-30
lira turecka,TRY,0.0956,2025-05-30
nowy izraelski szekel,ILS,1.0671,2025-05-30
peso chilijskie,CLP,0.00401,2025-05-30
peso filipińskie,PHP,0.0673,2025-05-30
peso meksykańskie,MXN,0.1944,2025-05-30
rand (Republika Południowej Afryki),ZAR,0.21,2025-05-30
real (Brazylia),BRL,0.662,2025-05-30
ringgit (Malezja),MYR,0.8832,2025-05-30
rupia indonezyjska,IDR,0.00023043,2025-05-30
rupia indyjska,INR,0.043832,2025-05-30
won południowokoreański,KRW,0.00272,2025-05-30
yuan renminbi (Chiny),CNY,0.5216,2025-05-30
SDR (MFW),XDR,5.1046,2025-05-30
